,Risk
675,3.36
676,2.62
677,3.11
678,2.91
679,2.82
680,2.09
681,3.68
682,2.47
683,2.8
684,2.7
685,3.99
686,1.66
687,1.77
688,2.82
689,2.3
690,2.78
691,1.86
692,2.49
693,2.86
694,2.75
695,2.57
696,2.57
697,2.29
698,1.79
699,3.17
700,2.16
701,2.8
702,2.13
703,2.12
704,2.6
705,1.83
706,1.85
707,2.66
708,2.14
709,2.83
710,1.85
711,2.58
712,2.7
713,2.13
714,2.94
715,3.32
716,2.07
717,2.95
718,2.24
719,2.93
720,2.15
721,1.89
722,3.0
723,2.7
724,2.38
725,1.92
726,1.66
727,2.09
728,3.52
729,2.62
730,3.0
731,2.26
732,1.8
733,2.34
734,2.69
735,1.63
736,2.44
737,2.96
738,2.78
739,2.37
740,3.04
741,2.6
742,2.83
743,3.2
744,1.84
745,2.78
746,2.0
747,2.53
748,2.49
749,2.98
750,1.73
751,2.09
752,2.76
753,2.69
754,3.12
755,3.02
756,2.34
757,2.6
758,2.35
759,3.37
760,2.98
761,2.53
762,3.06
763,1.98
764,2.62
765,1.91
766,2.82
767,2.65
768,2.26
769,3.11
770,2.19
771,2.29
772,2.84
773,2.61
774,3.4
775,2.13
776,3.05
777,2.67
778,2.37
779,2.03
780,2.28
781,1.67
782,2.38
783,2.63
784,2.09
785,3.32
786,2.78
787,2.28
788,2.4
789,2.31
790,2.31
791,2.8
792,2.75
793,3.03
794,2.31
795,2.64
796,3.79
797,2.29
798,1.53
799,2.15
800,2.36
801,2.65
802,4.0
803,3.6
804,3.01
805,2.73
806,2.78
807,1.33
808,3.28
809,3.0
810,2.29
811,2.79
812,2.43
813,2.69
814,2.13
815,2.33
816,2.11
817,2.4
818,2.26
819,2.14
820,3.05
821,2.62
822,4.1
823,3.42
824,3.07
825,2.19
826,2.84
827,2.92
828,2.77
829,2.16
830,2.71
831,2.94
832,2.62
833,2.65
834,2.57
835,2.1
836,2.44
837,2.59
838,2.99
839,2.78
840,2.19
841,2.03
842,1.92
843,2.35
844,2.38
845,3.26
846,2.95
847,2.19
848,2.73
849,3.09
850,2.18
851,2.47
852,2.67
853,2.45
854,1.26
855,4.24
856,2.36
857,2.16
858,3.25
859,2.57
860,2.54
861,1.92
862,3.35
863,2.51
864,2.42
865,3.22
866,2.02
867,2.63
868,3.04
869,2.34
870,2.03
871,2.12
872,2.22
873,3.33
874,2.64
875,2.14
876,1.28
877,3.06
878,2.2
879,2.9
880,3.53
881,2.5
882,2.08
883,2.94
884,2.45
885,2.78
886,3.8
887,2.16
888,2.22
889,2.36
890,2.55
891,2.35
892,1.56
893,2.77
894,2.87
895,1.97
896,2.12
897,2.52
898,2.8
899,3.33
900,2.95
901,2.61
902,2.0
903,3.13
904,2.9
905,2.57
906,2.8
907,2.4
908,2.4
909,3.09
910,2.53
911,2.27
912,2.58
913,2.95
914,2.57
915,1.72
916,2.91
917,2.03
918,2.02
919,2.64
920,2.3
921,2.29
922,2.56
923,2.46
924,3.67
925,1.66
926,2.85
927,2.58
928,3.08
929,3.21
930,3.39
931,2.73
932,2.07
933,2.48
934,2.25
935,2.34
936,3.02
937,2.65
938,2.29
939,2.44
940,2.47
941,2.92
942,2.75
943,2.43
944,2.56
945,2.97
946,2.07
947,2.3
948,1.84
949,2.39
950,2.11
951,1.73
952,2.75
953,2.47
954,2.51
955,3.64
956,2.96
957,2.27
958,3.15
959,1.92
960,2.04
961,2.54
962,2.49
963,2.68
964,2.73
965,2.95
966,2.22
967,1.79
968,1.67
969,3.62
970,2.34
971,3.23
972,2.64
973,2.66
974,3.24
975,2.58
976,2.24
977,3.25
978,2.36
979,2.49
980,2.92
981,2.1
982,3.42
983,2.68
984,1.63
985,2.66
986,2.37
987,2.5
988,2.88
989,2.71
990,2.34
991,2.52
992,1.97
993,2.37
994,2.78
995,1.85
996,2.56
997,3.14
998,3.01
999,3.41
1000,2.99
1001,3.02
1002,2.34
1003,2.29
1004,2.47
1005,2.94
1006,2.71
1007,2.06
1008,2.97
1009,2.95
1010,2.45
1011,1.7
1012,2.45
1013,2.17
1014,2.17
1015,3.25
1016,2.94
1017,2.7
1018,2.62
1019,2.85
1020,2.61
1021,2.09
1022,1.9
1023,2.54
1024,1.77
1025,2.95
1026,2.79
1027,1.52
1028,2.2
1029,1.67
1030,1.84
1031,2.53
1032,2.69
1033,1.83
1034,2.15
1035,1.51
1036,1.92
1037,3.9
1038,2.91
1039,1.62
1040,2.15
1041,2.39
1042,2.59
1043,1.84
1044,2.7
1045,3.08
1046,3.3
1047,3.5
1048,3.04
1049,2.32
1050,1.84
1051,2.44
1052,2.23
1053,1.82
1054,2.92
1055,2.72
1056,2.4
1057,2.8
1058,2.78
1059,2.1
1060,2.24
1061,2.39
1062,2.94
1063,3.23
1064,3.2
1065,2.37
1066,2.82
1067,2.66
1068,2.5
1069,3.03
1070,3.01
1071,2.08
1072,2.4
1073,2.59
1074,2.4
1075,2.3
1076,2.8
1077,4.3
1078,2.72
1079,2.73
1080,2.94
1081,2.9
1082,2.84
1083,2.61
1084,3.19
1085,2.61
1086,2.59
1087,2.67
1088,2.23
1089,3.29
1090,3.13
1091,2.72
1092,3.08
1093,3.03
1094,2.07
1095,1.99
1096,3.36
1097,2.52
1098,2.3
1099,2.65
1100,2.77
1101,2.69
1102,2.53
1103,2.18
1104,2.49
1105,2.63
1106,2.37
1107,2.92
1108,2.67
1109,2.51
1110,2.85
1111,3.54
1112,2.69
1113,2.39
1114,2.23
1115,1.68
1116,3.34
1117,2.2
1118,2.79
1119,2.9
1120,2.48
1121,2.16
1122,2.92
1123,3.46
1124,3.3
1125,1.98
1126,2.23
1127,2.41
1128,2.64
1129,2.5
1130,2.39
1131,2.36
1132,2.19
1133,2.03
1134,2.88
1135,3.25
1136,2.06
1137,2.43
1138,2.05
1139,2.89
1140,2.95
1141,2.61
1142,2.19
1143,2.02
1144,2.69
1145,2.02
1146,3.38
1147,3.08
1148,1.61
1149,2.41
1150,2.81
1151,2.89
1152,3.61
1153,2.6
1154,3.0
1155,2.75
1156,2.84
1157,2.17
1158,2.72
1159,2.44
1160,2.83
1161,2.25
1162,2.7
1163,3.11
1164,3.37
1165,2.03
1166,1.63
1167,3.53
1168,1.61
1169,1.62
1170,2.73
1171,2.49
1172,3.12
1173,2.92
1174,4.01
1175,2.67
1176,2.39
1177,2.9
1178,2.64
1179,2.12
1180,2.44
1181,2.41
1182,2.57
1183,2.11
1184,2.92
1185,2.71
1186,2.71
1187,2.12
1188,2.37
1189,2.55
1190,2.82
1191,3.35
1192,3.48
1193,3.1
1194,3.19
1195,2.54
1196,2.87
1197,2.34
1198,1.94
1199,2.28
1200,1.62
1201,3.37
1202,2.82
1203,2.62
1204,2.6
1205,2.5
1206,2.85
1207,1.5
1208,2.77
1209,2.53
1210,2.04
1211,3.21
1212,2.26
1213,1.71
1214,3.24
1215,3.64
1216,3.57
1217,2.59
1218,2.78
1219,2.45
1220,2.76
1221,2.46
1222,3.01
1223,3.0
1224,2.37
1225,3.46
1226,2.88
1227,2.42
1228,1.85
1229,2.24
1230,2.83
1231,2.46
1232,2.37
1233,2.99
1234,3.24
1235,1.94
1236,3.01
1237,3.45
1238,2.67
1239,2.08
1240,3.26
1241,2.88
1242,2.95
1243,2.6
1244,1.63
1245,2.22
1246,2.77
1247,1.95
1248,2.92
1249,2.91
1250,2.36
1251,3.32
1252,2.53
1253,2.75
1254,2.43
1255,3.42
1256,2.6
1257,2.37
1258,3.05
1259,1.28
1260,2.71
1261,2.99
1262,2.81
1263,2.52
1264,2.39
1265,2.49
1266,2.08
1267,2.64
1268,2.52
1269,2.38
1270,2.3
1271,2.36
1272,2.44
1273,3.14
1274,3.16
1275,2.92
1276,0.86
1277,3.21
1278,2.74
1279,2.47
1280,3.12
1281,2.46
1282,2.81
1283,3.05
1284,3.24
1285,2.65
1286,3.26
1287,3.26
1288,2.32
1289,2.72
1290,2.75
1291,2.31
1292,2.9
1293,1.4
1294,3.26
1295,2.61
1296,2.37
1297,3.38
1298,1.59
1299,2.35
1300,3.26
1301,2.99
1302,3.87
1303,2.65
1304,1.98
1305,2.53
1306,2.83
1307,2.16
1308,1.95
1309,1.89
1310,2.85
1311,3.47
1312,2.54
1313,2.18
1314,2.97
1315,3.07
1316,3.17
1317,2.55
1318,1.99
1319,2.83
1320,1.91
1321,2.55
1322,3.11
1323,2.86
1324,2.9
1325,3.04
1326,2.39
1327,2.42
1328,2.67
1329,2.39
1330,2.73
1331,3.01
1332,2.58
1333,2.41
1334,2.32
1335,2.1
1336,3.32
1337,2.01
1338,2.71
1339,1.71
1340,2.33
1341,1.82
1342,2.81
1343,2.42
1344,2.46
1345,2.69
1346,2.22
1347,2.38
1348,1.74
1349,1.85
1350,2.46
1351,1.98
1352,2.43
1353,1.61
1354,2.92
1355,2.51
1356,3.1
1357,2.99
1358,2.78
1359,2.23
1360,1.92
1361,3.12
1362,2.35
1363,3.07
1364,3.33
1365,2.59
1366,2.24
1367,2.43
1368,3.2
1369,2.86
1370,1.97
1371,2.46
1372,2.49
1373,2.9
1374,2.66
1375,3.46
1376,2.35
1377,2.23
1378,2.38
1379,2.47
1380,2.56
1381,2.64
1382,2.81
1383,2.63
1384,3.06
1385,3.01
1386,1.98
1387,2.46
1388,2.21
1389,1.57
1390,2.39
1391,1.4
1392,3.85
1393,2.76
1394,2.64
1395,2.44
1396,1.93
1397,3.08
1398,2.43
1399,3.61
1400,3.18
1401,3.16
1402,2.42
1403,2.51
1404,2.23
1405,2.38
1406,2.56
1407,2.59
1408,2.15
1409,3.09
1410,1.96
1411,2.31
1412,3.27
1413,2.15
1414,2.89
1415,2.45
1416,2.32
1417,2.39
1418,2.05
1419,3.31
1420,2.79
1421,2.17
1422,2.35
1423,3.03
1424,2.9
1425,1.56
1426,2.12
1427,2.77
1428,2.97
1429,3.14
1430,2.25
1431,3.17
1432,2.28
1433,2.99
1434,2.8
1435,3.3
1436,3.01
1437,2.7
1438,3.34
1439,2.22
1440,2.81
1441,3.69
1442,2.42
1443,1.97
1444,2.23
1445,1.62
1446,2.47
1447,2.69
1448,2.27
1449,2.19
1450,1.96
1451,2.63
1452,2.62
1453,2.67
1454,2.96
1455,2.65
1456,2.72
1457,3.02
1458,3.45
1459,2.27
1460,2.13
1461,2.09
1462,2.87
1463,2.31
1464,1.58
1465,3.0
1466,2.32
1467,2.49
1468,2.98
1469,2.6
1470,2.28
1471,3.03
1472,2.26
1473,2.77
1474,2.16
1475,1.84
1476,1.95
1477,2.75
1478,3.28
1479,2.63
1480,2.46
1481,2.56
1482,2.61
1483,2.77
1484,3.25
1485,3.02
1486,3.15
1487,3.23
1488,2.5
1489,2.51
1490,2.39
1491,3.14
1492,3.14
1493,2.38
1494,2.72
1495,2.6
1496,3.02
1497,3.4
1498,2.8
1499,2.43
1500,2.4
1501,2.58
1502,2.14
1503,2.53
1504,2.27
1505,2.02
1506,2.86
1507,2.06
1508,2.76
1509,2.11
1510,3.2
1511,3.11
1512,2.53
1513,2.37
1514,2.67
1515,2.58
1516,2.41
1517,1.58
1518,2.8
1519,1.43
1520,2.2
1521,2.68
1522,2.0
1523,3.14
1524,2.65
1525,2.11
1526,2.54
1527,2.66
1528,3.37
1529,2.83
1530,2.69
1531,2.11
1532,3.03
1533,2.94
1534,2.62
1535,3.64
1536,3.36
1537,3.2
1538,2.89
1539,2.06
1540,1.66
1541,2.76
1542,2.73
1543,2.16
1544,2.18
1545,2.42
1546,3.29
1547,2.3
1548,2.15
1549,2.0
1550,2.4
1551,1.77
1552,2.51
1553,2.75
1554,2.62
1555,2.83
1556,2.58
1557,2.0
1558,3.05
1559,3.31
1560,2.48
1561,3.61
1562,2.17
1563,2.43
1564,2.94
1565,1.69
1566,2.81
1567,2.79
1568,2.58
1569,3.04
1570,2.16
1571,2.65
1572,2.73
1573,2.16
1574,2.3
1575,2.35
1576,3.13
1577,2.65
1578,2.97
1579,3.04
1580,2.45
1581,1.94
1582,2.44
1583,2.62
1584,2.09
1585,2.52
1586,2.17
1587,2.69
1588,3.56
1589,2.39
1590,2.42
1591,2.59
1592,3.01
1593,3.52
1594,2.94
1595,2.98
1596,1.93
1597,2.58
1598,3.15
1599,2.77
1600,2.76
1601,2.16
1602,2.93
1603,3.46
1604,2.35
1605,3.13
1606,2.58
1607,2.82
1608,2.79
1609,2.78
1610,3.14
1611,3.19
1612,3.24
1613,2.32
1614,2.48
1615,2.58
1616,2.48
1617,2.77
1618,3.74
1619,2.68
1620,2.82
1621,2.03
1622,2.94
1623,2.33
1624,2.85
1625,2.39
1626,2.43
1627,1.65
1628,2.31
1629,3.43
1630,2.37
1631,2.89
1632,2.62
1633,2.67
1634,2.61
1635,1.39
1636,2.35
1637,2.22
1638,2.28
1639,3.22
1640,3.12
1641,2.94
1642,1.64
1643,3.2
1644,2.4
1645,3.46
1646,2.99
1647,2.63
1648,2.0
1649,2.63
1650,2.88
1651,2.96
1652,2.4
1653,1.96
1654,2.5
1655,3.07
1656,1.82
1657,2.73
1658,2.25
1659,2.83
1660,1.74
1661,2.87
1662,1.86
1663,2.67
1664,2.34
1665,2.78
1666,2.19
1667,1.21
1668,2.11
1669,2.6
1670,3.08
1671,3.58
1672,3.39
1673,2.14
1674,2.17
1675,3.26
1676,3.12
1677,3.64
1678,2.22
1679,2.0
1680,1.46
1681,3.04
1682,1.72
1683,3.2
1684,1.83
1685,3.82
1686,2.9
1687,2.73
1688,2.54
1689,3.24
1690,2.42
1691,3.36
1692,3.42
1693,3.16
1694,2.93
1695,3.61
1696,2.11
1697,2.59
1698,3.52
1699,3.72
1700,2.58
1701,2.67
1702,2.65
1703,2.82
1704,2.42
1705,2.36
1706,2.22
1707,3.06
1708,3.21
1709,2.67
1710,1.39
1711,3.34
1712,2.93
1713,1.89
1714,1.8
1715,2.6
1716,2.07
1717,2.63
1718,3.84
1719,3.03
1720,2.19
1721,2.94
1722,2.12
1723,2.03
1724,3.71
1725,1.5
1726,2.42
1727,2.87
1728,2.29
1729,2.6
1730,2.27
1731,2.54
1732,2.56
1733,2.26
1734,2.82
1735,1.61
1736,2.64
1737,1.64
1738,2.97
1739,2.56
1740,2.69
1741,2.95
1742,2.94
1743,3.44
1744,2.66
1745,2.32
1746,2.06
1747,2.79
1748,2.66
1749,3.81
1750,2.42
1751,2.7
1752,2.9
1753,2.92
1754,2.28
1755,3.01
1756,3.63
1757,3.72
1758,3.12
1759,2.98
1760,2.85
1761,2.44
1762,2.64
1763,2.87
1764,2.01
1765,2.41
1766,3.24
1767,3.01
1768,2.9
1769,2.93
1770,2.71
1771,3.01
1772,3.0
1773,2.84
1774,3.12
1775,2.46
1776,3.14
1777,2.19
1778,2.47
1779,2.12
1780,2.88
1781,2.76
1782,2.47
1783,2.54
1784,3.0
1785,3.92
1786,3.07
1787,2.29
1788,2.19
1789,2.74
1790,2.12
1791,3.32
1792,3.16
1793,3.28
1794,3.27
1795,1.8
1796,3.44
1797,2.84
1798,3.0
1799,2.37
1800,3.36
1801,2.8
1802,2.04
1803,2.79
1804,2.8
1805,1.91
1806,2.81
1807,3.19
1808,2.6
1809,2.05
1810,1.99
1811,3.1
1812,1.52
1813,3.52
1814,3.19
1815,2.83
1816,2.05
1817,2.51
1818,2.22
1819,2.46
1820,2.12
1821,3.26
1822,2.31
1823,2.51
1824,2.39
1825,3.07
1826,2.25
1827,2.9
1828,3.73
1829,2.19
1830,3.14
1831,1.8
1832,3.22
1833,1.78
1834,2.22
1835,2.26
1836,2.11
1837,3.23
1838,2.7
1839,1.99
1840,2.76
1841,2.85
1842,2.02
1843,3.25
1844,3.34
1845,4.15
1846,2.21
1847,1.71
1848,3.2
1849,3.02
1850,2.83
1851,2.29
1852,2.79
1853,1.82
1854,2.69
1855,3.15
1856,2.65
1857,3.17
1858,2.81
1859,3.25
1860,1.5
1861,2.83
1862,2.48
1863,1.9
1864,3.12
1865,1.94
1866,2.16
1867,2.03
1868,2.5
1869,3.42
1870,2.84
1871,3.02
1872,2.42
1873,3.44
1874,3.92
1875,1.97
1876,2.78
1877,2.94
1878,2.6
1879,3.2
1880,1.91
1881,3.49
1882,2.5
1883,3.28
1884,3.02
1885,2.88
1886,2.66
1887,2.64
1888,3.09
1889,3.05
1890,1.98
1891,2.78
1892,2.55
1893,3.46
1894,2.31
1895,2.83
1896,2.46
1897,2.03
1898,2.55
1899,2.16
1900,3.57
1901,2.95
1902,2.67
1903,1.95
1904,2.39
1905,2.35
1906,2.12
1907,1.48
1908,2.62
1909,2.99
1910,2.45
1911,2.74
1912,2.25
1913,1.74
1914,3.62
1915,2.38
1916,3.35
1917,3.13
1918,2.57
1919,3.81
1920,2.27
1921,2.72
1922,1.96
1923,2.32
1924,2.72
1925,2.06
1926,2.16
1927,2.35
1928,1.96
1929,2.72
1930,2.11
1931,2.49
1932,4.05
1933,1.89
1934,3.01
1935,3.21
1936,2.68
1937,2.28
1938,2.73
1939,3.27
1940,2.34
1941,2.58
1942,2.82
1943,2.13
1944,3.77
1945,2.54
1946,3.16
1947,3.98
1948,2.82
1949,2.32
1950,2.33
1951,2.96
1952,2.64
1953,2.52
1954,1.42
1955,2.81
1956,2.36
1957,2.56
1958,1.42
1959,3.4
1960,2.53
1961,2.21
1962,2.93
1963,3.15
1964,2.72
1965,3.03
1966,2.33
1967,2.12
1968,3.7
1969,2.33
1970,2.48
1971,2.91
1972,3.09
1973,2.25
1974,2.65
1975,3.08
1976,2.53
1977,3.2
1978,2.36
1979,1.8
1980,2.37
1981,2.28
1982,1.94
1983,2.87
1984,2.37
1985,2.33
1986,2.02
1987,2.18
1988,2.33
1989,1.74
1990,2.24
1991,3.0
1992,3.42
1993,2.22
1994,2.07
1995,1.5
1996,2.37
1997,1.15
1998,2.09
1999,2.49
2000,2.03
2001,2.0
2002,3.79
2003,2.43
2004,1.81
2005,2.29
2006,2.08
2007,2.7
2008,3.01
2009,3.07
2010,2.5
2011,1.97
2012,2.6
2013,1.9
2014,2.01
2015,2.09
2016,2.38
2017,2.68
2018,2.48
2019,2.9
2020,2.29
2021,2.22
2022,2.58
2023,1.78
2024,3.16
2025,2.83
2026,2.66
2027,2.11
2028,1.88
2029,3.05
2030,1.73
2031,2.01
2032,2.25
2033,3.17
2034,2.21
2035,2.96
2036,3.56
2037,3.78
2038,2.72
2039,2.42
2040,2.82
2041,2.04
2042,2.98
2043,2.88
2044,2.19
2045,2.73
2046,2.84
2047,2.21
2048,2.5
2049,2.81
2050,2.84
2051,1.31
2052,2.57
2053,2.92
2054,2.9
2055,3.0
2056,2.92
2057,1.73
2058,2.08
2059,2.6
2060,2.8
2061,2.5
2062,2.39
2063,3.65
2064,2.75
2065,2.25
2066,3.09
2067,2.58
2068,3.75
2069,2.93
2070,3.4
2071,2.71
2072,3.07
2073,2.4
2074,1.95
2075,3.16
2076,2.72
2077,2.09
2078,2.86
2079,3.2
2080,3.1
2081,2.34
2082,2.33
2083,3.33
2084,2.46
2085,2.48
2086,2.65
2087,2.77
2088,3.27
2089,1.87
2090,2.56
2091,3.36
2092,2.85
2093,2.95
2094,3.19
2095,2.59
2096,1.95
2097,3.15
2098,2.48
2099,2.37
2100,3.31
2101,2.62
2102,3.07
2103,2.02
2104,2.69
2105,1.83
2106,2.9
2107,2.81
2108,2.0
2109,2.19
2110,3.54
2111,1.39
2112,2.37
2113,2.59
2114,2.41
2115,2.52
2116,3.44
2117,2.94
2118,2.51
2119,2.73
2120,2.25
2121,2.93
2122,1.41
2123,3.38
2124,2.08
2125,3.12
2126,3.26
2127,3.13
2128,2.6
2129,3.12
2130,3.38
2131,2.68
2132,1.9
2133,2.51
2134,1.73
2135,2.83
2136,2.68
2137,1.98
2138,1.89
2139,1.97
2140,2.69
