Narrative,Severity,Vulnerability
"I have filed a complaint before about this company since they have failed to provide proper validation of a said debt. Now after disputing, they have changed the account balance from {$840.00} to {$84000.00}! This is absolutely absurd that a company thinks they can get away with this. A lawyer is next. I will not stand to be treated so unfairly.",4,2
I was approved for a short sale and my lender approved it. I was just told that my home will be foreclosed on after I was already approved and now it was denied.,5,4
Terrible customer service. I opened a credit card and it has been under review for no reason for weeks so I ca n't use the card. I have called and verified my information multiple times and have confirmed the charges. I am completely upset by this company and will never do business with Chase again.,3,2
Called and left voicemail stating that some debt was filed pertaining to my Social Security number and that I needed to take immediate action and called them right away. I have no delinquent debts.,1,1
I have disputed this many times before went to collection agency and bureaus. They have placed a fraud alert on account. I even sent a letter for them to send me a debt validation with the original contract and signature to state it belonged to me. Unable to provide me with the original contract with my signature and the company that they are saying I owe.,3,1
"this is an attempt to try and illegally collect a debt that is no longer eligible or owed for the following reasons. 
The account itself has aged out since it has actually been previously REMOVED from my report. 
I have not received any letter of reinsertion ever for this debt. 
You CAN NOT just claim a debt again once it has expired to restart the clock on it!",5,2
I utlilzed one time higher then my limit on a business card ( during holiday season ) and they closed all my account even my personal accounts!! Without working with me at all.,3,1
"Phoenix Recovery Group was sold some debt that they claim is from a medical provider. Once Phoenix co ntacted me about the debt, I asked for verification I have the debt from them. I never received it. I contacted then again over 30 days later, and at that point the y sent one illegi ble piece of paper. When I complained, they said that Texas did not require them to provide proof of service.",3,1
Walmart has violated 15 USC 1692 by continuing collection activity after a cease and desist and 15 USC 1681 by failing to report complete and accurate information to credit reporting bureaus.,4,2
This account was placed on my credit report without following the Fair Credit Reporting Act laws to validate the debt and allow time for proper dispute.,3,1
Debit collector called my boss at work and left a message and then proceeded to give him information about this claim.,4,2
Debt Collection company failed to validate to truth of the debt before acceptance this matter has been disputed the third party collection agency failed to honor the dispute,3,2
I have disputed an account Experian is reporting and they still have it listed which should NOT be so I took it upon myself and got a notice from the company here it is because they can not do their job. I want this REMOVED!,3,2
I 'm going through a tough time at the moment I 've lost my job and recently took out a loan with amscot I 've had to extend it 2 times and I can again! I have lost of credit debit and I ca n't afford to lose money at this moment,3,4
There is a collection account was reported to credit bureaus but did not recieve dunning notice from collection agency,2,1
"Rausch, Strum, Israel, Enerson and Hornik, LLC did not provide adequate verification for the debt in question. No documents were provided showing a contract or signature.",3,2
Transunion had a glitch in their system in which violated the rights of the consumer under the section 6.11. As the result I have been gravely affected and my score is suffered due as the result. No notice was ever given in which is also a violation and I'must requesting that all inquiries be removed,4,2
I have dispued this before. This is not mine I have asked for proof of how this phone account happened. No one can prove where I have signed for this no ID for this or anything. Also this was to have been in 2009 so should it not be removed anyway?,2,2
I wasnt aware that for the {$800.00} loan I was going to be charged 752.99 % APR. The company was not clear about it and I was not made aware that I would have to pay {$2000.00} in finance charges. So my total amount due is {$2800.00}. I believe I already paid 5 payments of {$230.00} Which totals {$1100.00}.,3,2
"I got a loan from Gurantee loans years ago, I never misssed one payment or was late, so come to my surprise this morning I check my credit report and it says I missed multiple payments.",2,1
Payments have been recently misapplied. Whole payment amount is being applied toward interest only & I am not on any type of workout plan. Everytime I call Navient 's customer service they advise its because of the interest accrued.,3,2
"I order an item and before I received the item I cancel the order. I tried to dispute the charge to my card, but American Express refused allow me to file a dispute.",2,1
"I called amazon to payoff the {$65.00} whicj the last balance I had to pay it off and they stated they did not have any record of my account, so I disputed the information to get it removed be uase according there was no record whatsoever.",2,1
"Despite having enrolled in the do not solicit list, I received an offer for a Chase Sapphire card. After several attempts in discussing the issue, we finally got assurance that no further offers would be sent after elapse of an approximate time period. However, we have received another offer.",1,1
They continue to contact my family members trying to get information about me saying they need to collect a debt. They were very rude to my parents and my brother on the phone. IT seems like a scam,3,2
"Equifax had been hacked and I, being a customer who was trying to avoid my identity from being stolen, had my information stolen.",4,2
My credit report have these inquiries that are unknown I did not give this company permission to run my credit I did not apply for no mortgage loan,3,1
"This company has taken to multiple calls on my work cell phone. They used to call from a different number, but now they are switching to another number to try and scam money out of me.",1,1
I asked them to show me prove and they hung up on the phone. it is on my credit report and it is damaging it. they just sent me a letter.,2,1
The Debt Collector called and stated that i owed over {$2000.00} for breaking an apartment lease early it should have been for only 2 months rent. They also keep adding more money to the debt and they are not even the original debtor.,4,3
USAA is not being fair when it comes to their overdraft policy. They are letting funds hit your account on purpose when the funds are short. for example i made a deposit to cover my transaction and they are still telling me tha t they accurately collected a fee from me.,2,1
"This account was previously listed by another company about a year ago and as the result of a dispute, the account was removed from my credit bureau reports. The account has since been sold, again to AFNI who has attempted to re-age the account and has not made any attempts to verify or validate this debt in the amount of {$550.00}.",3,1
"Repeatedly calling my in-laws several times per day even though they have my phone number. They have told them repeatedly that I am not reachable at their number. 
They also call me repeatedly, even after speaking with them and making payment arrangements.",4,2
"Equifax is reporting some public record of a judgement of {$7000.00} on my credit report. This is not mine and should be deleted. I have submitted a dispute with Equifax about this but, it still appears on my report.",4,2
I have no knowledge of this account and it does not belong to me. This is a fraudulent report on my credit report.,2,2
Walmart has violated 15 USC 1692 by continuing collection activity after a cease and desist and 15 USC 1681 by failing to report complete and accurate information to credit reporting bureaus.,4,2
Filed multiple disputes with company about the validity of the debt. The company keeps sending me copies of credit card statements as proof of validation of debt. I have asked for something more concrete as a way for validating the debt.,3,2
I had an unauthorized transaction on my debit card account. and BBVA Bank refuses to credit my checking account. They always want to take the side of the merchant instead of their own customers. This is a terrible bank and nobody should do business with them.,2,1
I opened an online bank account with www.pnc.com a couple of months ago. It was suppose to be a free online checking account. I found that they charge me {$25.00} for 'service fee '. They refuse to refund this money.,2,2
"There are multiple duplicate student loan accounts on my credit report and they ca n't determine which ones are duplicate and original. If they determine the difference between the original ones and duplicate ones they should delete them. It is adversely affecting my credit, making my income to debt ratio much higher than it is. I have been refused for a mortgage because of this problem",4,3
Checked my credit report. I see some of my old accounts that were discharged but so accounts are not showing.,3,1
"Account is being reported as late and delinquent when I am prepaid for years. I’ve been making big payments to get these paid off, and currently show no balance due. However, my most recent credit report shows me as 90 days delinquent on these accounts.",3,2
I opened an account with coinbase.com to purchase crypto currency. I added banking information to make trades. I 've tried to log in for a couple of months but I 've been locked out. I submit emails and I get canned response. But to no prevail do I get any sort of customer service follow ups as well as I still ca n't log in. I 'm concerned that they have my banking info. What can I do?,2,1
"Chase bank apparently conducted hard pulls on my credit 6 days apart last year and wont remove them. I don't understand why one place would need to hit me twice in one week, often it takes a month or two for my credit score to update changes. It is hurting my credit score, and I have never had any delinquent marks or accounts or payments.",3,2
"According to Equifax, I am a potential/likely victim of their lack of security regarding my personal information. I am now at a higher risk of identity theft and fraud. I should have been notified months ago regarding this breach. It has been handled poorly be the executive team at Equifax.",4,2
My house is in escrow and also up for auction by PennyMac. The bank has been unwilling to allow an extension since the house is scheduled to close five days past auction date. We are seeking payoff instructions but the bank has been unwilling to provide. I 've called daily and provided all necessary supporting documents. PennyMac has not provided any assistance to help us resolve the loan.,5,4
"Asked for Loan Modification, Failed to give me the option to reapply for consideration and or other options in a timely manner. Failed to explore other opinions as short sale or deed in lieu of foreclosure",5,3
I receive calls from Diversified Consultants five to six times a day almost every day of the week. I have requested that they discontinue all calls as a result on several occasions but they just increased after the conversation.,2,1
Filed two disputes with credit repoting agencies concerning items on my credit report which were not veried correctly according to the FRCA Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ).,2,1
Wells Fargo reported a late status on my account on an account that is already paid in full and has no balance,1,1
"USAA bank has been my primary bank fo r 7+  years, and the communication speed of their online services is very slow.",1,1
"This account was from my identity being stolen and is fraudulent, it is being reported even though it is a fraudulent account I have filed a police report and identity theft affidavit regarding this matter",4,1
"transunion had a glitch in their system that violated the rights of their consumers under section 6.11. As a result, I have been greatly affected and my score is suffering as a result. No notice was ever given which is also a violation and i am requesting that ALL inquires be removed.",3,1
I have been a victim of identity theft and i 'm trying to dispute inaccurate items on my credit report.,4,2
"TD bank manger is sending me handwritten envelopes with letter threatening to close my account, harassing me by telling me not to write checks or use my debit card. I called the customer service number 2 times and was told there was no record of my complaints. I was also told the mangers manger would call and this was also a lie.",4,2
I have tried contacting this company several times and I am not getting a response. They are reporting to credit agencies but I do not know what this is.,1,1
"I was trying to see if thay can modif, my loan to make it a fixed rate with impounds. and thety sai they could not help. but they were always calling to see if I mailed my payment out and ask for my reciept numer and tracking number. and lost my home owners info. and called my threes time to get the info to them.",4,2
Did not authorize these inquiries i called to dispute and company says call credit agency and credit agency says call companies.,4,2
This company has taken my 2017 tax refund and no longer has this acount why did they take my refund and why are they reporting incorrect information on my credit reports these are fraudulent acts that this company are doing to consumers,3,2
"this was a payday online loan debt trap with extra amounts added to my pay back amount, which i was unable to meet their pay back guidelines, due to paying my rent and lights, gas, causing financial stress on my household. Receiving harassment emails. Affecting my credit score.",4,3
"i want to refinance my mortgage, but the mortgage company, ocwen, will not adhere to the terms of the modification agreement. in that they will not forgive the deferred princpal balance and keep adding it to the payoff figure ...",4,2
Ocwen did not pay the hazard insurance through the escrow. this is the 3rd year we have had issues with them making this payment even though we pay into escrow for it to be paid. Now they are threatening to buy more expensive insurance or make us pay out of pocket for something they should have paid already a month ago.,5,3
"I called the bureau to remove inquiries that I did not recognize from my report they refused and proceeded to tell me that the inquiries were correct.. It was also several variations of my name, addresses, and phone numbers that were not mine on the report.",2,1
"I have notified Santander Consumer that I was a victim of Identity Theft, my wallet was stolen, I provided Santander Consumer with a Identity Theft Affidavit. To date, Santander Consumer has failed to remove this account from my credit file. So, I am in need of your assistance in getting this account removed from my credit file.",4,2
I obtained a settlement with payment of {$2300.00} and Discover takes 30-45 days to report it to credit bureaus. We are trying to buy a home and we need this reported efficiently. The company is quick to send negative information to credit bureaus but slow in reporting settlement.,3,3
"Equifax mishandled my information which has led to a breach that puts myself and millions of others at potential risk. I am extremely disappointed with how equifax has handled reporting this breach. Very little was done to notify the public for nearly a month after the breach was detected. I received no email, letter, or phone call and instead had to discover it via social media.",4,2
This creditor/collection agency is re-aging this account as if it is new debt and is illegal under the FDCPA and the FCRA. The debt is much older and statute of limitations has elapsed on this debt. This company is showing this on all 3 of my credit bureaus as recent debt.,4,3
"Discover called my employer and co -workers multiple times, trying to find out what my personal cell # was and personal ifo about me, They ask a male coworker if he was my boyfriend and did he live with me. Continued to call these same people after Being asked to stop.Excessive contact on my home phone.When I changed jobs they started again with the same behavior. I have proof of who they called.",5,3
"I have notified Equifax twice that the inquiries that are on my credit report are fraudulent inquiries that were not authorized. I have sent several letters to Equifax by certified mail, yet the inaccurate information, remains on my credit report. These inquiries add a hardship and my rights were violated by Equifax. I ask that CFPB help me make Equifax stop victimize me.",4,2
"I used my credit card to purchase concert tickets for a venue that was in our area, and I never received the tickets that I was charged for.",2,1
Because I filed bankruptcy and included the derogatory items are already in with the bankruptcy they are shown twice in different areas and should be removed,2,4
I have disputed why not lease it account with Transunion but they claim to verify their results. But per the company who the account was sold this account was not reported to the agencies and this account has not been validated as per FCRA showing a contractual agreement.,2,1
"I am filing a complaint on Nationstar for their deceptive, unfair and abusive loss mitigation practices. I am requesting Nationstar do the right thing and give me the mod they have promised. Please see the attachments with Compliant, Modification Approval Letter, Signed and notarized Mod Package and Denial Letter.",3,1
"I over drafted my account but was charged overdraft fees for two consecutive days. 
I called on the first day and was told what items were subject to the fees. 
Then when I called they tried to double talk me. I 'm not stupid. I think this may have happened before.",2,1
I receive several automated phone calls a week from Enhanced Recovery debt collectors. They do not name the person who owes the money. I do not have any overdue debts.,1,1
fraud inquiry on my credit report from synchrony bank ( Walmart credit card ) I 've tried a number of times to contact Walmart and synchrony bank to only here 45 days and it should be removed it has been well over a year.,4,1
"I consolidated the balance of my son 's student loans in 2006. Even though I paid on time regularly every month, AES has failed to reduce the interest rate as I was promised. Their response was that option was eliminated when the loans were consolidated. That was never conveyed to me and I would never have agreed to it.",3,3
I disputed that the card is an unverifed account on my credit report and the company did not sending any proof or validate that the card was opened or used by me.,3,1
I am a Victim of Identity Theft and I have submitted numerous disputes concerning fraudulent accounts reporting on my credit reports. I submitted FTC and police reports to the credit bureaus and and the the companies involved requesting validation of the debts and I have not received validation as requested. I am exhausted with all the runarounds from the credit reporting agencies.,4,2
"I am a victim of Equifax 's data breach which exposed millions of American 's personal information to unknown sources. As a result, I could be targeted for identity theft or other financial crimes. This is one of the largest breaches of information in history and Equifax failed to keep this very sensitive information safe.",4,3
I have had this account for almost 5 years and they are still reporting late payments from almost 4 years ago will they ever forever me for. Wing late I have been a customer for a while now,3,1
This was paid over a year ago and have contacted western services and the credit bureaus about this with no results,2,1
"no fraud on my report. not on public assistance.information reported over and over.can not recall dates, actions, amounts, because of false information.",1,1
"My personal information was released due to the improper release of information from Equifax servers. That information included my name, Social Security number, birth date, addresses, drivers license number, and might include credit card numbers. I have requested Equifax put a fraud alert on my account.",4,3
I asked over the phone and in writing for the lowest payment plan and was not provided with the information that would have forgiven my loans under the public service grant. I have worked in public service for four years and because this was not processed I need to wait to have the loans forgiven four additional years.,3,2
"Hello -- I was approached to consolidate my federal student loans via a company called studentloanaid.us. They charged me a yearly fee and then managed my student loans for me under a income contingent plan. I now can not reach this company, their website is defunct and they have no functional phone numbers. I have no idea what to do about my outstanding loan. Can you please help me?",3,3
Gold Key Credit INC is trying to collect money from me I have never been affiliated with them.This is not accurate.,5,2
"Paypal stopped allowing me to transfer money to another party. Additionally they have provided no means to remove the withdrawal limit on my account, thus they are holding my funds hostage.",3,1
I have an automatic recurring payment set up with the company. Since the beginning of 2018 when they changed their system the additional money I pay each month does not go toward paying down the balance on the loan. Instead they apply it towards the next months payment. Each month I call to have them apply the excess payment to the balance of the loan and not towards the next months payment.,3,1
"This compan y, Transworld Systems Inc. keep s calling and leaving messages that we ( they do not specify who they are calling for ) have an outstanding debt that they are calling to collect. They do not say who, where, what amount. We have no outstanding debt. I do not know what this is about and do believe if I call them to "" resolve '' the problem I will get anywhere.",1,1
This is an agency calling for a Medical emergency debt They have my cell phone and been calling my work number everyday harassing me .When I comforted them they were rude and hanged up on me.,1,1
"For years Toyota finance has reported a late payment on my former account that never occurred. I have attempted to address it directly with them and through the credit bureaus, but the matter has not been resolved.",3,1
"This collection agency is reporting on my credit report. However, I dispute the validity of this debt. I do n't have a contract with a collection agency and did not owe them anything. Due to HIPPA regulations, I did not provide any of my doctors to share any of my information with a collection agency.",3,2
I attempted to obtain my annual free credit report from Experian online and received the message shown on the attachment.   I replied to the message by mail including a request for the report and information as to why I could n't get my report online.   I am attaching a copy of the credit report.com reply whichI find completely uninformative.,1,1
Equifax was hacked and the confideitial data that it stored was stolen. How can a company like this allow such a thing to happen? They should be put out of business. This is unacceptable.,4,1
The monthly payment for my mortgage suddenly increased dramatically ; making it impossible for me to keep making payments. The lender has not given me the chance to fix the default on my mortgage. It is like the bank rathers foreclose my home than pay my loan.,3,3
"Equifax mishandled my information, which puts me and millions of other people at risk. I 'm listed as a potential victim per their website and will have to initiate a freeze to protect myself. I was not notified by Equifax in any way that my information was compromised. In fact, the process is to look it up yourself. This situation is an outrage.",4,2
there are several inconsistent errors on my report that needs to be corrected and the agencies have not corrected those errors,2,1
I have several accounts that are not mine that i continue to have reporting to my credit file i am submitting a new police report that has these accounts added to them so that you can identify them along with a ftc affidavit that has been notarized. still these accounts have not been removed as they are fraudulent,4,2
I have not called them yet for I just looked in my mail and found this. Says I have a balance due of {$320.00} from something I have no clue what it is about. I went online to look up the company and have seen many negative responses about them.,2,1
"Equifax allowed my information to be stolen in their latest hack. 

They are responsible for any and all issues that arise on my credit from now on.",4,1
They are calling and messaging me over 10x a day by phone and text messages and calling me from their cell phones and calling my friends and family talking about my debt. I have asked them over a month ago to stop calling me at my cell phone and was told they do n't have too..,4,2
I was a victim of the 2017 Equifax breach that they knowingly withheld from the public for months while their stockholders could prepare for the fallout from this news.,4,1
I ASKED THEM TO PROVIDE ME COPIES OF DETAIL LETTER FROM THE CREDITORS FOR ALL THE INQUIRY IN MY ACCOUNT. BUT THEY ARE SAYING ITS VERIFIED.,2,1
"I am a victim of identity theft. I have send letter to Credit Bureaus for blocking Fraud information, but they did n't send me proper notice for that investigation",4,1
"Went to pay my Citi credit card, teller said that they needed my Social Security Number and Occupation. I ask why, and pressed the issue they said it was corporate policy.",2,1
"This company continued to send debt collection documents for an individual that I do not know, to my property address, after I returned their mail. Please ask them to stop.",3,2
Threatening to take legal action but keeps postponing the court date. Will not take a lesser payment than what they feel is appropriate. Filed financial hardship documentation stating affordability of payment. Lack of communication with agency. Original debtor ( hospital ) is unable to contact agency. Agency refusal to work with plaintiff. Self identifies as collections agency and lawyer.,5,4
I received a voicemail stating I was being implicated in a legal matter and I needed to call their mediators and submit a statement and agree to a settlement to avoid further legal action,4,1
Tide water keeps removing and replacing account on credit file. They have the account with a past due {$760.00} balance with its suppose to be {$0.00}. They will remove it one month and replace it the next.,2,1
"Schwab bank closed my Schwab Bank High Yield Investor Checking Account. I opened the account and was told to wait for my wife to become a joint owner of the account prior to depositing money into the account because this will affect how the debit cards are issued. My account was closed by Schwab. They claim they sent me letter, but I did not receive them.",3,1
My car was stolen and some one stole my information to obtain credit. I received bills that did not belong to me.I pulled my credit report and there are accounts that are not mines.,5,3
"Wells Fargo is refusing to remove data from our credit report. Wells Fargo reported we were late on a mortgage payment after the loan was paid off in full. We were specifically told to make no further payments to Wells Fargo. 
Their action has severely damaged my family 's credit.",3,3
"Debt was purchased for profit and is not valid or verfified, company is also in voliation of FDCPA, FCRS and CONSUMER LAWS.",2,1
Bankruptcy they say verified thru court .... i received letter from court saying THEY DO NOT HAVE ANY INTERACTION WITH CREDIT BUREAUS .... i asked that their source and any information be released to me per my right by the FCRA they said courts which clearly DOES NOT INTERACT WITH THEM I ASK THIS BANKRUPTCY BE DELETED ... it is not mine,4,3
I attempted to set up a multiple payment system with Navient regarding a Private loan.When I called after exhausting all avenues of working on my own trying to set up a second payment to pay more towards the loan the company informed me that I had to make One Large payment rather then 2 smaller payments which equal the same amount.,3,3
This company never made contact with me about any potential debts that they had for me. They have listed 2 medical debts on my credit reports without notifying me. I want these debts for {$1800.00} and {$720.00} removed from my credit reports until they can be properly validated.,3,2
They are calling my place of employment and harassing me about a debt that I am disputing after I had asked them not to.,4,1
"I am being harassed by robocalls from Central Credit Services LLC. I receive robocalls to my cell phone and now at my workplace landline number- at any hour of the day including Sundays. I asked this company to stop calling my workplace phone number in 2014- the representative has not honored that request, and the harassment continues.",2,1
"Idenity theft, submitted affidavit and paperwork to company. 
Company did not comply with validation of account",4,1
JC Penny has violated x 15 USC 1692 by continuing collection activity after a cease and desist and 15 USC 1681 by failing to report complete and accurate information to credit reporting bureaus.,4,2
"I did n't owe the debt this company tries to collect. I do n't even remember I was with the service provider and If I was using their service, I always paid in full any balance that I owe.",3,2
Company keeps calling and leaving silent voicemails. They are mean and rude and won't stop when told to.,2,1
Tried to save my house went to bankruptcy court and field. both times I went I asked the clerk should I come back they said no. it will be dismissed. Lost the house anyway but the bankruptcy stays on my report its killing me,4,4
interests rates are too high and it seems as I will be paying my loans until I retire. I 've tried to work arranging a payment I can afford on a monthly basis and have n't been successful accomplishing it. It is overwhelming.,3,4
"I was online trying to pay my bill, a telephone number pops up on the page and blocked me from paying my bill. I waited, about a week or 2, then I received a letter stating it was an account collection. I have no delinquent accounts.",3,1
I have submitted two settlement claim through claim form online and by mail. Rush cards is not letting me know the status of it.,3,1
"My mortgage company did an audit by a third party and found that I was overcharged {$1000.00} and they refuse to give me an explanation of where they made this mistake. They used the funds against principal without offering my money back to me, which I was told by the auditer was done with other cases. My mortgage company has refused to explain and the people have been nasty to speak with.",4,2
my identity was compromised in the past i had to change my debit card and all other accounts linked to my name,4,1
"I recently read a newspaper article that stated Barclays ( barclaycard ) has been fined by the Fed Reserve and NY State more than any other Bank. It has come to my attention, that barclaycard is charging customers late fees during this horrific hurricane season. Please stop them.",2,1
I have been repaying my federal student loans since 2009 and was told I earn interest everyday and none of my monthly payments go to the principal just to the daily accruing interest. I owe as much now as I did in 2009.,4,4
FedLoan is not changing my repayment option from Standard to REPAYE. I am unable to afford the monthly Standard loan. This is causing me to be deliquent on my loans,5,4
Discover has violated 15 USC 1692 by continuing collection activity after a cease and desist and 15 USC 1681 by failing to report complete and accurate information to credit reporting bureaus.,4,1
"on X/X/17 Equifax announced their information was breached through a Cybersecurity Incident, I am on the list of potentially impacted consumers",4,1
I received a phone call telling me my grand daughter was in an accident and needed to get home. They even put a girl online that sounded just like her. She needed to pay the rental car {$650.00} so that she could get home. They kept calling to get more money. This is when I realized something was not right.,3,1
This company has an unknown item listed against me. I have disputed with no response back from them. I have no idea what this is and there is always something listed which does n't belong to me. Please help,2,1
"Hi, I received confirmation that my information with Equifax has been exposed. 
Please let know what options i may have regarding this. My personal identity has now been released and exposed.",3,1
"My mortgage company is trying to foreclose on my mortgage because they do not believe that I live in the property. I have faxed and emailed the documentation which the mortgage company asked me for ( initially ) so that I could be granted a loan modification. However, the mortgage company still does not believe that I live in the property. I appreciate your help.",5,5
"I have ask CRA to provide verification of this debt on multiple disputes and still have not removed the debt nor giving sent me any verified information by mail or email. According to the FCRA section 609 they are required by law to do so.

US Department of Veteran Affairs {$6100.00} US Department of Veteran Affairs {$5000.00} US Department of Veteran Affairs {$100.00}",2,1
Your entity must remove this unauthorized inquiry and provide a written response to my address. Please see attachments below.,2,1
"This company has attempted to collect a debt which is not mine, it is not my name but my social security number. There has been some mistake or my identity has been stolen. I have attempted to correct this matter several times with no success.",3,2
"Credit information was lost in national breach. There is no way around not having all your information automatically reported and out there to be stolen from negligent reporting agencies. Freezing your credit report should be free. There should not be a fee to protect yourself, especially with as little care as these companies have protecting your data.",4,2
Navy Federal will not let me use or close my savings account with them. I 've spoken to them in branches and on the telephone. They say it is against policy to close savings accounts.,2,3
"JP Morgan Chase bank, buys it 's customers credit report sin order to sell them loan rates, and justifies doing so by using the information on those publicly available reports as "" security questions '' on your accounts. It makes them unsecure, and when presented with my displeasure, they basically told me they could not set up alternate security.",2,2
"I have been trying to get this Hard inquiry off my credit for several months now. I have notified all 3 Credit Bureaus to get Validation of my signature asking this lender for credit. They keep responding with it is verified, but I do not know nothing about this company and has asked it be removed several times.",2,2
"I lost my social security card and now i am unable to open a bank acct in my name. I attempted to sign up for credit karma, and it 's stating that info does n't match.",4,2
I talked to transunion reps about inquiries on my credit report as I did n't ask for my credit to be ran. I am trying to tell them I did n't authorize these but they are failing to delete them.,2,2
There are hard inquiries on my credit report that I did not make. I have bad credit already and I know that applying for things aren't in my best interest. I need these inquiries that I did not make to be removed off my credit report.,2,3
PRO COLLECT INC. I DISPUTED ONCE THEY NEVER MAILED ME ANY INFO AFTER I ASK. THEY HAVE THE WRONG PERSON I NEVER LIVED AT THIS ADDRESS I BEEN AT MY HOME SINCE 1998 HAVE THEM REMOVE IT FROM MY REPORT,3,1
I had a debit card only account with Chase and it was impossible for me to have insufficient funds in my account.,2,1
I was doing online inquiry in relation to a real estate purchase and I contacted support informing them the numbers were incorrect/old and told them I submitted page to proceed only to find the terms. They did not communicate with me and continued to process the loan. They sent an email in reply to the support request the day they processed the loan. I never agreed to finalize the loan.,2,1
"We have received a call from southwest credit asking for myself. I asked what it is regards to and all they said was it is a personal matter and we need to verify address. I am not going to verify anything to anyone unless I know what it is regarding, because of criminals.",1,1
A legal firm that represents the credit card company has served me papers thru the sheriff 's department notifying my right to have exemptions designated. I 'm guessing as payment. Is n't there a statute of limitations for credit card debt?,2,2
Was a victim if fraud in our bank account and due to that had a returned payment. Left messages for the account  manager  and sent emails and no ine has gotten back to me. Everytime i call in they just tell me to pay in full or my car will be repossessed.,4,3
Navient applies payments made to contested fees first so that each month they send notices that I am past due. I am submitting the minimal payment and have contested the fees they have assessed.,2,1
"I have not apply for this home equity and have not authorized the credit check. They did anyway without my authorization. 
I 'm very upset that this happening.",2,1
"Submitted disputes with company where either information was incorrect or did not update. When items were reported to be removed by creditor, they were not removed. Timeliness and accuracy of reporting was inefficient.",2,1
Fay Servicing has not provided us HAMP nor HARP information. Interested to look at those options asap.,1,1
"My loan was purchased by Wells Fargo from my original lender with whom I had been in good standing. Wells Fargo changed the terms of the loan, unbeknownst to me, to compound interest daily. They refused to allow me to pay any more than the minimum payment unless I opened an account with them which I flatly refused.",3,3
"capital one, despite 3 filed complaints, still provides no viable option to remove fraud alert from account.",3,3
"Disputed debt on credit report asked for validation with my signature, and they have start legal action against me. So in turn i have started a class action against them. Debt buyer Midland Credit Management, Inc",5,4
"The company has not provided proof of the debt. I have asked for a copy of the contract between the collection agency and the original account owner, a detailed contract between myself and the original owner, and a detailed print out of all payments and outstanding debt as well as proof of signature from this agency and it has not been received.",3,2
Accounts that are not mine appear on my report. I was asked to file a police report and contact creditors. I did. Other agencies except Equifax have fixed the error. I just filed a lawsuit after exhausting all avenues via the FCRA.,3,3
"I asked for identity verification with Equifax. Even though I submitted an id and my social security number via fax 3 times I never heard from them. When I called they could never find any record. I sent in that information by mail and never hard from them. 
Even though I 've done everything exactly as I had been asked to do I can not get information as to what is in my records.",3,2
